"Est_name" "Method" "Est_value" "SE" "Lower_CI" "Higher_CI" "Pval" "n" "Smoking_var" "E_G_S1" "smoking_var_char" "label_name"
"Beta_1" "Method 1" -211.503272699849 42.9608347413822 -295.706508792959 -127.30003660674 8.7324507247236e-07 "6316" "b665_yn" "0.577625570776256" "S = Smoking in the 1st 3 months" "-212 (SE: 43)"
"Beta_0" "Method 1" -220.183379208236 48.4805452965227 -315.205247989421 -125.161510427052 5.68459889686579e-06 "6316" "b665_yn" "0.577625570776256" "S = Smoking in the 1st 3 months" "-220 (SE: 48)"
"Beta_1-Beta_0" "Method 1" 8.68010650838667 42.8078544070878 -75.2232881295054 92.5835011462787 NA "6316" "b665_yn" "0.577625570776256" "S = Smoking in the 1st 3 months" "9 (SE: 43)"
"Beta_1" "Method 2" -221.927231918415 48.6771312647858 -317.334409197395 -126.520054639435 NA "6316" "b665_yn" "0.577625570776256" "S = Smoking in the 1st 3 months" "-222 (SE: 49)"
"Beta_0" "Method 2" -205.182133914695 40.1121462287482 -283.801940523041 -126.562327306348 3.2265500309974e-07 "6316" "b665_yn" "0.577625570776256" "S = Smoking in the 1st 3 months" "-205 (SE: 40)"
"Beta_1-Beta_0" "Method 2" -16.7450980037203 27.576780687613 -70.7955881514418 37.3053921440012 0.543728614197724 "6316" "b665_yn" "0.577625570776256" "S = Smoking in the 1st 3 months" "-17 (SE: 28)"
"Beta_1" "Method 1" -167.620106928112 35.8467541042598 -237.879744972462 -97.3604688837632 2.98596601552278e-06 "6316" "b663_yn" "0.559046587215601" "S = Smoking before pregnancy" "-168 (SE: 36)"
"Beta_0" "Method 1" -160.59143367997 38.0802291036549 -235.228682723133 -85.954184636806 2.50835312492994e-05 "6316" "b663_yn" "0.559046587215601" "S = Smoking before pregnancy" "-161 (SE: 38)"
"Beta_1-Beta_0" "Method 1" -7.02867324814281 31.9896168489645 -69.7283222721131 55.6709757758275 NA "6316" "b663_yn" "0.559046587215601" "S = Smoking before pregnancy" "-7 (SE: 32)"
"Beta_1" "Method 2" -168.898444872703 41.3701336672733 -249.983906860559 -87.8129828848475 NA "6316" "b663_yn" "0.559046587215601" "S = Smoking before pregnancy" "-169 (SE: 41)"
"Beta_0" "Method 2" -159.378854300932 33.228528938565 -224.506771020519 -94.2509375813447 1.65221376572076e-06 "6316" "b663_yn" "0.559046587215601" "S = Smoking before pregnancy" "-159 (SE: 33)"
"Beta_1-Beta_0" "Method 2" -9.51959057177105 24.6445292961138 -57.822867992154 38.7836868486119 0.699305312480309 "6316" "b663_yn" "0.559046587215601" "S = Smoking before pregnancy" "-10 (SE: 25)"
"Observational" "Observational" -82.9868372869153 13.4167062176504 -109.28358147351 -56.6900931003205 6.58528092835548e-10 "6316" "b663_yn" NA "S = Smoking before pregnancy" "-83 (SE: 13)"
"Observational" "Observational" -151.271898991631 14.7694180138809 -180.219958298838 -122.323839684425 1.99026622174697e-24 "6316" "b665_yn" NA "S = Smoking in the 1st 3 months" "-151 (SE: 15)"
"Instrument G" "Standard MR" -210.271936589848 41.9788986840196 -292.550578010526 -127.99329516917 5.620654267516e-07 "6316" "b665_yn" NA "S = Smoking in the 1st 3 months" "-210 (SE: 42)"
"Instrument G2" "Standard MR" -212.639296309966 40.134477220764 -291.302871662663 -133.975720957269 1.20938302478584e-07 "6316" "b665_yn" NA "S = Smoking in the 1st 3 months" "-213 (SE: 40)"
"Instrument G2" "Standard MR" -164.429069473358 33.241653023066 -229.582709398567 -99.2754295481486 7.75288060609975e-07 "6316" "b663_yn" NA "S = Smoking before pregnancy" "-164 (SE: 33)"
