"n" "True_beta_1" "True_beta_0" "True_beta_diff" "FSTAT_G2" "FSTAT_G" "BETA_0_EST" "SD_BETA_0_EST" "BETA_1_EST" "SD_BETA_1_EST" "BETA1_BETA0_EST" "SD_BETA1_BETA0_EST" "LCI_BETA_1" "HCI_BETA_1" "LCI_BETA_0" "HCI_BETA_0" "LCI_BETA1_BETA0" "HCI_BETA1_BETA0" "power_beta_0" "power_beta_0_LCI" "power_beta_0_HCI" "power_beta_1" "power_beta_1_LCI" "power_beta_1_HCI" "power_rgmte" "power_rgmte_LCI" "power_rgmte_HCI" "coverage_beta0" "coverage_beta0_lower" "coverage_beta0_higher" "coverage_beta1" "coverage_beta1_lower" "coverage_beta1_higher" "coverage_beta_diff" "coverage_beta_diff_lower" "coverage_beta_diff_higher"
50000 -180 -170 -10 731.316023997113 46.5337973119272 -170.67988532643 43.1783542590054 -180.614126966405 38.7625390183981 -9.93424163997433 16.8029247621418 -256.587307391794 -104.640946541016 -255.307904585793 -86.0518660670682 -42.8673690087085 22.9988857287598 97.68 97.2627369706182 98.0972630293818 99.66 99.4986522220395 99.8213477779605 8.64 7.86125009705318 9.41874990294682 0.9516 0.945651424386518 0.957548575613482 0.9504 0.944381931303581 0.956418068696419 0.952 0.946074811357088 0.957925188642912
1e+05 -180 -170 -10 1459.98377796602 91.3539779964497 -170.26811199534 30.1756285870373 -180.316509426203 26.9329083048502 -10.0483974308622 11.7385298315467 -233.104039702629 -127.528979149777 -229.411257236791 -111.12496675389 -33.0554931321428 12.9586982704184 100 100 100 100 100 100 13.12 12.1841851931578 14.0558148068422 0.9504 0.944381931303581 0.956418068696419 0.9588 0.953290962741967 0.964309037258033 0.9558 0.95010284891785 0.96149715108215
2e+05 -180 -170 -10 2919.00720517999 182.74058681573 -169.780381072303 21.5058170755069 -179.73648761052 19.3873831273786 -9.9561065382173 8.28315406629403 -217.735060294661 -141.737914926378 -211.931007998403 -127.629754146203 -26.1907901865501 6.27857711011549 100 100 100 100 100 100 21.2 20.0670933447544 22.3329066552456 0.9532 0.947345658772483 0.959054341227517 0.9502 0.944170444830058 0.956229555169942 0.955 0.94925392842336 0.96074607157664
3e+05 -180 -170 -10 4380.38816290677 272.756011195343 -170.116375527243 17.7533692420969 -180.093309810031 15.8062390578115 -9.97693428278727 6.80781597959672 -211.072969094372 -149.11365052569 -204.912339845994 -135.320411208492 -23.3200084161731 3.36613985059856 100 100 100 100 100 100 30.72 29.4412735925742 31.9987264074258 0.9536 0.947769508046526 0.959430491953474 0.9524 0.946498311832578 0.958301688167422 0.954 0.94819347644649 0.95980652355351
5e+05 -180 -170 -10 7306.0135539923 454.66095969624 -170.1509669207 13.8916636570753 -180.069653910042 12.408206345613 -9.9186869893422 5.29002483250476 -204.389291460185 -155.750016359899 -197.378127373911 -142.923806467488 -20.286945138374 0.449571159689654 100 100 100 100 100 100 45.72 44.3391830191894 47.1008169808106 0.9474 0.941212394011223 0.953587605988777 0.95 0.943958985284193 0.956041014715807 0.9512 0.94522814958734 0.95717185041266
7000 -200 -185 -15 102.991344908964 7.38521589399235 -183.567364437555 118.667503624603 -198.061958369388 106.482908112909 -14.4945939318329 45.5931785070064 -406.764623239778 10.6407065010019 -416.151397677053 49.0166688019429 -103.855581746271 74.8663938826052 34.88 33.5589826459643 36.2010173540357 47.66 46.2756147386066 49.0443852613934 6.04 5.37968211237523 6.70031788762477 0.9476 0.941423516886887 0.953776483113113 0.9474 0.941212394011223 0.953587605988777 0.9496 0.94353614636514 0.95566385363486
10000 -200 -185 -15 147.362298424211 10.1515456599853 -186.633588435822 96.7793328800455 -201.150740558274 87.873970416112 -14.5171521224515 37.8995375677462 -373.380557752391 -28.9209233641558 -376.317595328524 3.05041845688007 -88.7988807859567 59.7645765410537 48.6 47.214639556473 49.985360443527 63.86 62.528406642487 65.191593357513 6.64 5.94987533385336 7.33012466614663 0.9536 0.947769508046526 0.959430491953474 0.951 0.945016553842717 0.956983446157283 0.9504 0.944381931303581 0.956418068696419
50000 -200 -185 -15 731.316023997113 46.5337973119272 -185.671256468919 43.1785066974503 -200.598576952798 38.7640117906148 -14.9273204838795 16.8041320230864 -276.574643958689 -124.622509946907 -270.299574502143 -101.042938435695 -47.8628140405851 18.0081730728261 99 98.7242086211468 99.2757913788532 99.96 99.9045749353656 100.015425064634 13.8 12.8440035821464 14.7559964178536 0.952 0.946074811357088 0.957925188642912 0.9506 0.944593444859246 0.956606555140754 0.9524 0.946498311832578 0.958301688167422
1e+05 -200 -185 -15 1459.98377796602 91.3539779964497 -185.260518038782 30.1752052196877 -200.302852426781 26.9325761893184 -15.0423343879985 11.7389524737852 -253.089731768726 -147.515973084836 -244.402833495475 -126.11820258209 -38.0502584528448 7.96558967684777 100 100 100 100 100 100 24.02 22.8358704066247 25.2041295933753 0.9508 0.944804985653088 0.956795014346912 0.959 0.953503777308535 0.964496222691465 0.9556 0.949890571423022 0.961309428576978
2e+05 -200 -185 -15 2919.00720517999 182.74058681573 -184.772894843354 21.5055784733021 -199.722979938769 19.3870493400425 -14.950085095415 8.28327633282822 -237.720898411754 -161.725061465785 -226.923054117726 -142.622735568983 -31.1850083817513 1.28483819092132 100 100 100 100 100 100 41.86 40.4925853937551 43.2274146062449 0.9538 0.94798147726393 0.95961852273607 0.951 0.945016553842717 0.956983446157283 0.9548 0.949041776581855 0.960558223418145
