"n" "True_beta_1" "True_beta_0" "True_beta_diff" "FSTAT_G2" "BETA_0_EST" "SD_BETA_0_EST" "BETA_1_EST" "SD_BETA_1_EST" "BETA1_BETA0_EST" "SD_BETA1_BETA0_EST" "LCI_BETA_1" "HCI_BETA_1" "LCI_BETA_0" "HCI_BETA_0" "LCI_BETA1_BETA0" "HCI_BETA1_BETA0" "power_beta_0" "power_beta_0_LCI" "power_beta_0_HCI" "power_beta_1" "power_beta_1_LCI" "power_beta_1_HCI" "power_rgmte" "power_rgmte_LCI" "power_rgmte_HCI" "coverage_beta0" "coverage_beta0_lower" "coverage_beta0_higher" "coverage_beta1" "coverage_beta1_lower" "coverage_beta1_higher" "coverage_beta_diff" "coverage_beta_diff_lower" "coverage_beta_diff_higher"
50000 -180 -170 -10 730.658750649169 -170.154776360981 40.5319564674515 -181.095781744898 40.334484295328 -10.9410053839168 9.78012155954961 -260.149918298737 -102.041645191059 -249.595951260131 -90.7136014618307 -30.1096914050577 8.22768063722417 98.72 98.408419229439 99.031580770561 99.3 99.0689070305585 99.5310929694415 20.1 18.989203488352 21.210796511648 0.9462 0.939946175370473 0.952453824629527 0.9562 0.950527499879481 0.961872500120519 0.949 0.942902086168815 0.955097913831185
1e+05 -180 -170 -10 1458.69632157996 -169.751824062539 28.1589888821592 -180.758065656532 27.9734940982674 -11.0062415939923 6.85583987889795 -235.585106610879 -125.931024702184 -224.942428112635 -114.561220012443 -24.4434408404057 2.43095765242112 100 100 100 100 100 100 35.12 33.7968905750599 36.4431094249401 0.9522 0.946286547322295 0.958113452677705 0.9594 0.953929513347818 0.964870486652182 0.949 0.942902086168815 0.955097913831185
2e+05 -180 -170 -10 2916.47988344176 -169.269540959498 20.1680759471584 -180.110790614452 20.1017255331313 -10.8412496549537 4.88273054642336 -219.509448686498 -140.712132542405 -208.798243453397 -129.740838465599 -20.411225672157 -1.27127363775032 100 100 100 100 100 100 60.48 59.1248809577845 61.8351190422155 0.9496 0.94353614636514 0.95566385363486 0.956 0.950315158334066 0.961684841665934 0.9472 0.941001296052013 0.953398703947987
3e+05 -180 -170 -10 4376.60551113601 -169.56001803957 16.5946856770795 -180.511990505409 16.4375339381702 -10.9519724658389 3.9608548905137 -212.728965018878 -148.295015991941 -202.085004301409 -137.035031777732 -18.7151053992351 -3.18883953244269 100 100 100 100 100 100 78.26 77.1166932158633 79.4033067841367 0.9476 0.941423516886887 0.953776483113113 0.9604 0.954994488974477 0.965805511025523 0.9436 0.937205647012608 0.949994352987392
5e+05 -180 -170 -10 7299.73633341956 -169.556309974861 12.9161242695406 -180.502971572732 12.9682559888675 -10.9466615978709 3.11184850055194 -205.920286253208 -155.085656892256 -194.871448363004 -144.241171586718 -17.0457725842977 -4.84755061144414 100 100 100 100 100 100 94.32 93.6784372315825 94.9615627684175 0.9476 0.941423516886887 0.953776483113113 0.9536 0.947769508046526 0.959430491953474 0.9362 0.929425804178824 0.942974195821176
7000 -200 -185 -15 102.917526389466 -182.476372910824 110.861488409204 -198.569420508033 110.608298852283 -16.0930475972096 26.1593170867451 -415.357702649752 18.2188616336852 -399.760897465368 34.8081516437208 -67.3643669473933 35.1782717529741 39.2 37.8468127036593 40.5531872963407 42.9 41.5281400135157 44.2718599864843 10.04 9.20698145752729 10.8730185424727 0.9442 0.937837728670478 0.950562271329522 0.9544 0.948617565453717 0.960182434546283 0.9478 0.94163466481386 0.95396533518614
10000 -200 -185 -15 147.230798652511 -185.989282505239 91.2552983814136 -201.823222443894 90.6464488601012 -15.8339399386548 21.8157633209409 -379.486997536144 -24.1594473516443 -364.846380731266 -7.13218427921268 -58.5920503429489 26.9241704656392 53.8 52.4181044622429 55.1818955377571 58.7 57.3352372342713 60.0647627657287 11.22 10.3451832543651 12.0948167456348 0.9478 0.94163466481386 0.95396533518614 0.9588 0.953290962741967 0.964309037258033 0.9518 0.945863103767677 0.957736896232323
50000 -200 -185 -15 730.658750649169 -185.154776360992 40.5319564674515 -201.095781744909 40.334484295328 -15.9410053839168 9.78012155954961 -280.149918298748 -122.04164519107 -264.595951260143 -105.713601461842 -35.1096914050577 3.22768063722417 99.56 99.3765440207119 99.7434559792881 99.88 99.7840393947067 99.9759606052933 36.2 34.8679279573595 37.5320720426405 0.9466 0.940368150343432 0.952831849656568 0.9564 0.950739873764262 0.962060126235739 0.949 0.942902086168815 0.955097913831185
1e+05 -200 -185 -15 1458.69632157996 -184.751824062551 28.1589888821593 -200.758065656543 27.9734940982675 -16.0062415939923 6.85583987889795 -255.585106610891 -145.931024702195 -239.942428112647 -129.561220012455 -29.4434408404057 -2.56904234757887 100 100 100 100 100 100 64.14 62.8106702958476 65.4693297041524 0.9524 0.946498311832578 0.958301688167422 0.9594 0.953929513347818 0.964870486652182 0.949 0.942902086168815 0.955097913831185
2e+05 -200 -185 -15 2916.47988344176 -184.269540959509 20.1680759471585 -200.110790614463 20.1017255331314 -15.8412496549537 4.88273054642336 -239.50944868651 -160.712132542416 -223.798243453409 -144.74083846561 -25.411225672157 -6.27127363775032 100 100 100 100 100 100 89.72 88.8782089991171 90.5617910008828 0.9496 0.94353614636514 0.95566385363486 0.9562 0.950527499879481 0.961872500120519 0.9472 0.941001296052013 0.953398703947987
