"n" "FSTAT_G2" "FSTAT_G" "BETA_0_EST" "SD_BETA_0_EST" "BETA_1_EST" "SD_BETA_1_EST" "BETA1_BETA0_EST" "SD_BETA1_BETA0_EST" "LCI_BETA_1" "HCI_BETA_1" "LCI_BETA_0" "HCI_BETA_0" "LCI_BETA1_BETA0" "HCI_BETA1_BETA0" "mean_S" "sd_S" "mean_G" "sd_G" "mean_G2" "sd_G2" "mean_Y" "sd_Y" "power_beta_0" "power_beta_0_LCI" "power_beta_0_HCI" "power_beta_1" "power_beta_1_LCI" "power_beta_1_HCI" "power_rgmte" "power_rgmte_LCI" "power_rgmte_HCI" "coverage_beta0" "coverage_beta0_lower" "coverage_beta0_higher" "coverage_beta1" "coverage_beta1_lower" "coverage_beta1_higher" "coverage_beta_diff" "coverage_beta_diff_lower" "coverage_beta_diff_higher"
"V1" 100 2.41349095900375 1.07034210994152 -45.1255803554619 25851.5619689342 -260.319752438424 16257.7748889194 -215.289172079795 16621.5389895644 -32124.9730034801 31604.3334986033 -50713.2559835719 50623.004822861 -32792.9069592544 32362.3286150948 0.2589485 0.437394396497701 0.5499935 0.497454420456057 0.3996505 0.489686352569804 3459.0365525035 475.444681724848 5.09729378220199 4.79247464882299 5.40211291558099 5.715 5.39329151665244 6.03670848334756 5.95267870541744 5.62476276452103 6.28059464631385 0.946876094242409 0.943767781791909 0.949984406692909 0.94785 0.944768727862898 0.950931272137102 0.94682607173228 0.943716378346413 0.949935765118146
"V2" 200 3.87798947754876 1.17437431997035 43.2296874443713 23014.6450878325 -74.4679034529117 22305.3950568647 -117.685197919594 4811.7850105736 -43792.2388758454 43643.3030689396 -45064.6458016789 45151.1051765677 -9548.61051999353 9313.24012415434 0.2592495 0.437878106886865 0.54991075 0.497491760967927 0.3998995 0.489823611423114 3459.41682681663 475.892462177987 5.21552155215522 4.90737977870357 5.52366332560687 6.43 6.09005638034296 6.76994361965704 6.57565756575658 6.23215284298426 6.91916228852889 0.948444844484448 0.945380234699607 0.95150945426929 0.9472 0.944100648026006 0.950299351973994 0.947744774477448 0.944660566503428 0.950828982451467
"V3" 300 5.27443288608687 1.25777873203713 106.990740517977 48275.07231142 -50.5832103265642 41435.2953864254 -157.57101805944 7057.79940178312 -81262.269856499 81161.1034358458 -94510.412340932 94724.393821968 -13990.6036556627 13675.4616195438 0.259222333333333 0.437983566067033 0.5496415 0.49752640676958 0.4001475 0.489889099697528 3459.37361499344 476.460479961157 5.19525976298815 4.88768425279373 5.50283527318257 6.755 6.40717679984264 7.10282320015736 7.58537926896345 7.21844177875009 7.95231675917681 0.949397469873494 0.946359781323196 0.952435158423792 0.9505 0.947493842343215 0.953506157656785 0.949047452372619 0.945999838029532 0.952095066715705
"V4" 400 6.73314582840772 1.33443488941065 -82.2334020686404 7630.2993077336 -181.686171592964 6855.45249511113 -99.4527695243236 1188.92754829957 -13618.126159736 13254.7538165501 -15037.3452364874 14872.8784323501 -2429.70794441899 2230.80240537034 0.25944575 0.438159671193729 0.550297875 0.497462549463238 0.399866875 0.489843448968841 3458.94347827123 476.533560762521 5.49 5.17431194672909 5.8056880532709 7.845 7.47236038810016 8.21763961189984 8.065 7.68762274664281 8.44237725335719 0.94785 0.944768727862898 0.950931272137102 0.94945 0.946413804567737 0.952486195432263 0.9489 0.945848216176969 0.951951783823031
"V5" 500 8.25615240044309 1.46503195103976 13.0218636259739 16923.5852932238 -126.589741638852 11360.8125587578 -139.611605264826 5704.18740938464 -22393.3731919145 22140.1937086368 -33156.5958003844 33182.6395276363 -11319.6134887256 11040.3902781959 0.2593428 0.438143146651305 0.5500627 0.497486809869904 0.400245 0.489928862112701 3458.88111953904 476.647993792774 5.68 5.35921861579126 6.00078138420874 8.07 7.69251605022542 8.44748394977458 9.02 8.62298279445149 9.41701720554851 0.94865 0.94559116308549 0.95170883691451 0.9494 0.946362383345277 0.952437616654723 0.9488 0.945745392514507 0.951854607485493
"V6" 600 9.65433767805374 1.52446091231775 -115.584982117829 2173.66707198259 -214.129349780624 1946.89891042764 -98.5443676627954 409.833859849736 -4029.98109575906 3601.72239619781 -4375.89415758434 4144.72419334868 -901.803972613314 704.715237287723 0.2592985 0.43814122361672 0.54976725 0.497501577506404 0.40018025 0.489915804302592 3459.34854613354 476.607984524832 5.61 5.29108311253097 5.92891688746903 8.625 8.23593125862738 9.01406874137262 9.675 9.26530320630992 10.0846967936901 0.9499 0.946876632780638 0.952923367219362 0.9497 0.946670923060293 0.952729076939707 0.9507 0.94769960592079 0.953700394079209
"V7" 800 12.7659470714525 1.72695239264238 -120.462273970494 1383.38656256347 -216.682203886222 1136.95556336007 -96.219929915728 286.156670163723 -2445.07416009441 2011.70975232196 -2831.85011329156 2590.92556535057 -657.076697372533 464.636837541077 0.2591165625 0.438067253362944 0.5499075 0.497503414471966 0.3999175625 0.489863787117885 3459.15630342668 476.53914273769 6.025 5.69522495672313 6.35477504327687 10.055 9.63821445940251 10.4717855405975 11.4 10.9595441527659 11.8404558472341 0.9487 0.945642572088031 0.951757427911969 0.94995 0.946928062293608 0.952971937706392 0.9492 0.946156706670396 0.952243293329604
"V8" 1000 15.6272418844511 1.89447112931982 -111.384764814054 383.832700244239 -211.249193310953 345.269782499343 -99.8644284968991 127.713054222837 -887.965531959642 465.467145337737 -863.68303338152 640.913503753413 -350.177415129271 150.448558135473 0.2591524 0.438100360435346 0.54990805 0.497497826645869 0.40010195 0.489906510975819 3459.07506832548 476.672847645896 6.06 5.72933008541803 6.39066991458197 11.3 10.8612328299331 11.7387671700669 13.375 12.9032611843757 13.8467388156243 0.9508 0.947802492826544 0.953797507173456 0.9504 0.94739096565179 0.95340903434821 0.9502 0.947185222415029 0.953214777584971
"V9" 2000 30.0531789648962 2.81924943026063 -105.320221488159 231.018621562556 -205.089220873984 208.201549614071 -99.7689993858246 87.177855307497 -613.156759642991 202.978317895023 -558.108399508858 347.467956532539 -270.634456037963 71.0964572663135 0.2591118 0.438114288137926 0.550077275 0.497484125146101 0.3999947 0.489891167642962 3459.1532781338 476.835116893947 7.37 7.00788820674868 7.73211179325132 18.045 17.5120342955783 18.5779657044217 21.93 21.3565513974825 22.5034486025175 0.95075 0.947751048946228 0.953748951053772 0.9491 0.946053873245857 0.952146126754143 0.9484 0.945334130135262 0.951465869864738
"V10" 3000 44.7312593895896 3.70954498162512 -99.3506537043902 184.070327475229 -199.183501164277 165.828184356767 -99.8328474598868 69.5588479185789 -524.200770125208 125.833767796654 -460.121866178332 261.420558769552 -236.1656841864 36.4999892666267 0.259170866666667 0.438159045692898 0.55002855 0.497489658471139 0.39995415 0.48988467282687 3459.18669602808 476.907866024402 8.4 8.01556716613985 8.78443283386015 23.9 23.3089497953435 24.4910502046565 30.285 29.6481898190386 30.9218101809614 0.9488 0.945745392514507 0.951854607485493 0.94695 0.943843729219183 0.950056270780817 0.9513 0.948316978921485 0.954283021078515
"V11" 4000 59.5088483984239 4.55003236540086 -101.978103166136 158.231121928177 -202.229207907695 141.692539384843 -100.251104741559 60.9019385856449 -479.941481980011 75.4830661646212 -412.105403378728 208.149197046457 -219.616710958093 19.1145014749754 0.2592166 0.438189104009664 0.5498693 0.497507002729106 0.3999869875 0.489892707927427 3459.19667305447 476.802230736785 10.17 9.75110587492624 10.5888941250738 30.84 30.1999442990454 31.4800557009546 38.985 38.3090724155395 39.6609275844605 0.94735 0.944254808595371 0.950445191404629 0.94725 0.944152034106612 0.950347965893388 0.94675 0.94363820802732 0.94986179197268
"V12" 5000 74.1198694547488 5.55913478143912 -100.366309911232 140.400979780848 -199.710636789815 126.38931676025 -99.3443268785828 53.6963658800159 -447.429145670529 48.0078720908996 -375.54717367583 174.814553853366 -204.587270104099 5.89861634693372 0.2592485 0.438209011169722 0.55006076 0.497485798218508 0.40008846 0.489914688722775 3459.2004923798 476.84531492375 10.975 10.5417971064358 11.4082028935642 36.795 36.1266511353261 37.4633488646739 45.59 44.899748669815 46.2802513301851 0.94875 0.945693981897331 0.951806018102669 0.94985 0.946825204102002 0.952874795897998 0.9506 0.947596722429623 0.953603277570377
"V13" 6000 88.4444394453764 6.42904027608177 -102.268031736509 127.639522049391 -202.403391524531 114.874512832942 -100.135359788022 48.9958282265426 -427.553299418682 22.7465163696204 -352.436897957221 147.900834484204 -196.165418504757 -4.10530107128781 0.259193616666667 0.438180750617083 0.549998416666667 0.497493516183455 0.400009 0.48989780804171 3459.15726349261 476.859607418893 12.65 12.1893089123912 13.1106910876088 43.215 42.5284579113726 43.9015420886274 53.345 52.653600518045 54.036399481955 0.9497 0.946670923060293 0.952729076939707 0.94785 0.944768727862898 0.950931272137102 0.9493 0.946259543367147 0.952340456632853
"V14" 7000 103.040370096629 7.32317384449529 -100.266039213778 118.505247643668 -200.146726018555 106.291316284616 -99.8806868047769 45.5827274908075 -408.473877805758 8.18042576864849 -332.532056574367 131.999978146811 -189.221191003863 -10.5401826056903 0.259184764285714 0.438177493919718 0.550009678571429 0.497492402459388 0.399990235714286 0.489894647205244 3459.15584855992 476.869076082869 13.645 13.1692666391343 14.1207333608657 48.25 47.5574726509337 48.9425273490663 59.775 59.0954194948166 60.4545805051834 0.9469 0.943792347769831 0.950007652230169 0.94735 0.944254808595371 0.950445191404629 0.9477 0.944614543855241 0.950785456144759
"V15" 8000 117.862948056514 8.23074250474668 -100.761826693471 110.484419019072 -200.677128362051 98.8024697250125 -99.9153016685804 42.9298846852604 -394.326410606685 -7.02784611741771 -317.307308823685 115.783655436743 -184.056329512149 -15.7742738250124 0.25914496875 0.438157014543222 0.54999893125 0.497492873838923 0.400026025 0.489901699010893 3459.156666554 476.823766879488 15.31 14.8109583940892 15.8090416059108 53.815 53.1240681077078 54.5059318922922 65.175 64.5147336327817 65.8352663672184 0.9484 0.945334130135262 0.951465869864738 0.9501 0.947082355850382 0.953117644149618 0.9478 0.94471733240693 0.95088266759307
"V16" 9000 132.038577916818 9.14298688523314 -100.47474818446 103.606794478449 -200.023148593519 93.0380794987152 -99.5484004090595 39.949738473419 -382.374433601775 -17.6718635852633 -303.540333915863 102.590837546943 -177.848449008755 -21.2483518093642 0.259182077777778 0.438178178304793 0.549957205555556 0.497497741479796 0.400053055555556 0.489907299386511 3459.12920754529 476.892737100456 16.33 15.8177156719124 16.8422843280876 58.285 57.6016273120582 58.9683726879418 70.475 69.8428129597691 71.1071870402309 0.95005 0.947030923827291 0.953069076172709 0.9481 0.945025716986841 0.95117428301316 0.94975 0.946722349243007 0.952777650756993
"V17" 10000 146.758458065475 10.1225691249542 -99.8259977734728 98.1094946727895 -199.869794266015 88.0593468980763 -100.043796492542 37.9903378025135 -372.462942688363 -27.2766458436664 -292.117073873564 92.4650783266188 -174.503490345979 -25.5841026391049 0.259218375 0.438199447285665 0.5499533 0.497498341644766 0.40005652 0.489908342044405 3459.1775947238 476.820889120425 17.58 17.052455823039 18.107544176961 62.88 62.2104340754806 63.5495659245194 75.34 74.7426313359319 75.9373686640681 0.9507 0.94769960592079 0.953700394079209 0.95065 0.947648163748999 0.953651836251001 0.9493 0.946259543367147 0.952340456632853
