"n" "FSTAT_G2" "BETA1_BETA0_EST" "SD_BETA1_BETA0_EST" "BETA_0_EST" "SD_BETA_0_EST" "BETA_1_EST" "SD_BETA_1_EST" "LCI_BETA1_BETA0" "HCI_BETA1_BETA0" "LCI_BETA_0" "HCI_BETA_0" "LCI_BETA_1" "HCI_BETA_1" "mean_S" "sd_S" "mean_G" "sd_G" "mean_G2" "sd_G2" "mean_Y" "sd_Y" "power_rgmte" "power_rgmte_LCI" "power_rgmte_HCI" "power_beta_0" "power_beta_0_LCI" "power_beta_0_HCI" "power_beta_1" "power_beta_1_LCI" "power_beta_1_HCI" "coverage_beta0" "coverage_beta0_lower" "coverage_beta0_higher" "coverage_beta_diff" "coverage_beta_diff_lower" "coverage_beta_diff_higher" "coverage_beta1" "coverage_beta1_lower" "coverage_beta1_higher"
"V1" 100 2.37869174457727 -101.455158251632 231.177083837239 -143.647166295403 10280.4429391148 -245.03103270247 10279.0309650609 -554.553916623616 351.643600120353 -20292.9450720795 20005.6507394887 -20391.5615201938 19901.4994547889 0.2444695 0.42899450319366 0.5499935 0.497454420456057 0.3996505 0.489686352569804 3505.9318325035 475.932931324395 7.465 7.10074878098502 7.82925121901498 5.51679132573666 5.20037878469664 5.83320386677668 4.90939209879022 4.60994799588174 5.2088362016987 0.943526931378947 0.940327808386759 0.946726054371135 0.94645 0.943329949175652 0.949570050824348 0.956227097033281 0.953391684262629 0.959062509803934
"V2" 200 3.79660388956944 -98.7195463559676 158.714565071227 -94.2621138201862 12915.8706806078 -192.947676356727 12916.8844889909 -409.794377717511 212.355285005576 -25408.9034767882 25220.3792491479 -25509.576067243 25123.6807145295 0.244676 0.42949881101294 0.54991075 0.497491760967927 0.3998995 0.489823611423114 3506.32438681663 476.38729948495 9.205 8.80434002822734 9.60565997177266 5.47773886943472 5.16238308114682 5.79309465772261 5.51775887943972 5.20132021311502 5.83419754576442 0.945572786393197 0.94242874231408 0.948716830472313 0.94885 0.945796803940679 0.951903196059321 0.953876938469235 0.950969983319763 0.956783893618706
"V3" 300 5.18050056568425 -100.947793604635 129.214267257544 -2.44142499463573 19163.1823606505 -103.389047733512 19163.0944652136 -354.203103718154 152.307516508884 -37561.5886810429 37556.7058310536 -37662.364031891 37455.585936424 0.244625833333333 0.429611580637005 0.5496415 0.49752640676958 0.4001475 0.489889099697528 3506.26423499344 476.922877626472 12.2 11.7464133472877 12.6535866527123 5.36268134067034 5.05046523505351 5.67489744628716 5.84292146073037 5.51785317199286 6.16798974946787 0.947973986993497 0.944896178626997 0.951051795359996 0.94905 0.946002457757815 0.952097542242185 0.955127563781891 0.952258411449883 0.957996716113899
"V4" 400 6.6139942443347 -99.8245572757333 112.856988757636 -251.212494993198 12113.1997195219 -351.056963590566 12112.225612647 -321.020190644342 121.371076092875 -23992.6476827968 23490.2226928104 -24090.5829370022 23388.4690098211 0.244982 0.429884761558701 0.550297875 0.497462549463238 0.399866875 0.489843448968841 3505.86005827123 477.028308258521 14.59 14.1007677249504 15.0792322750496 5.86646661665416 5.54078475242343 6.1921484808849 6.71167791947987 6.36489133547596 7.05846450348378 0.946686671667917 0.943573134011128 0.949800209324706 0.9466 0.943484075171716 0.949715924828284 0.953638409602401 0.950724311799797 0.956552507405005
"V5" 500 8.06215639419611 -99.3097843559114 100.159248400506 -136.285443966762 7626.18806621021 -235.595228322673 7625.83098985005 -295.618303939503 96.9987352276803 -15083.3393930679 14810.7685051344 -15181.9493206182 14710.7588639729 0.2447996 0.429820259241216 0.5500627 0.497486809869904 0.400245 0.489928862112701 3505.79477553904 477.137970124925 16.945 16.4250797041821 17.4649202958179 5.84 5.51500794676406 6.16499205323594 7.105 6.74894974277925 7.46105025722075 0.94795 0.944871521140429 0.951028478859571 0.94895 0.945899629224503 0.952000370775497 0.95395 0.951045236915735 0.956854763084265
"V6" 600 9.45330472279566 -100.13805986269 91.6549984019047 -111.234155309038 1456.7948790185 -211.372215171728 1456.85639497253 -279.778555733499 79.5024360081198 -2966.49965104768 2744.0313404296 -3066.75827996474 2644.01384962128 0.244828333333333 0.42985882965357 0.54976725 0.497501577506404 0.40018025 0.489915804302592 3506.22395946687 477.082116299667 19.745 19.1933066974172 20.2966933025828 6.025 5.69522495672313 6.35477504327687 7.325 6.9639077187046 7.6860922812954 0.94645 0.943329949175652 0.949570050824348 0.94795 0.944871521140429 0.951028478859571 0.95505 0.952178485618708 0.957921514381292
"V7" 800 12.465954067157 -99.9343343068646 78.3645741177417 -113.747666178777 476.038550370756 -213.682915010042 474.766753312609 -253.526077241458 53.6574086277288 -1046.76608015812 819.270747800561 -1144.20865255977 716.842822539685 0.2445649375 0.429733005094768 0.5499075 0.497503414471966 0.3999175625 0.489863787117885 3506.05922842668 477.020987646924 24.47 23.8741872121098 25.0658127878902 6.48064806480648 6.13946060833616 6.8218355212768 8.60586058605861 8.21718306854321 8.994538103574 0.946694669466947 0.943581352206714 0.949807986727179 0.95095 0.947956829609138 0.953943170390862 0.954795479547955 0.951916230688352 0.957674728407557
"V8" 1000 15.2741653116165 -100.432269922604 70.2378185680499 -111.787748201809 359.059208632374 -212.220018124413 358.987341897282 -238.09586466864 37.2313248234328 -815.530865438715 591.955369035097 -915.822279148853 491.382242900027 0.24463515 0.429791579513874 0.54990805 0.497497826645869 0.40010195 0.489906510975819 3505.97116232548 477.151770533696 29.455 28.8232493089889 30.0867506910111 6.535 6.19248437009395 6.87751562990605 9.66 9.25058693315539 10.0694130668446 0.9475 0.94440897616305 0.95059102383695 0.9512 0.94821407479367 0.95418592520633 0.95655 0.953724587764167 0.959375412235833
"V9" 2000 29.3746113631735 -99.2271187504523 49.7775858294813 -105.444106779698 222.907621092751 -204.67122553015 221.887730867912 -196.789394213587 -1.66484328731757 -542.335016000991 331.446802441595 -639.563186642575 230.220735582274 0.244613575 0.42981934237656 0.550077275 0.497484125146101 0.3999947 0.489891167642962 3506.0591051338 477.312725063318 51.2 50.5072476867223 51.8927523132778 8.055 7.6778362682223 8.4321637317777 15.205 14.7073644158043 15.7026355841957 0.94845 0.945385535120669 0.951514464879331 0.9474 0.944306197005611 0.950493802994389 0.9533 0.950375805001381 0.956224194998619
"V10" 3000 43.6731414522571 -100.005290848944 40.5201893541553 -99.3271459948258 177.80216173471 -199.33243684377 177.043212649628 -179.423402629832 -20.5871790680564 -447.812979368224 249.158687378572 -546.330757344307 147.665883656768 0.244690383333333 0.429879938437226 0.55002855 0.497489658471139 0.39995415 0.48988467282687 3506.08507669475 477.405907806684 69.265 68.6255499565762 69.9044500434238 9.07 8.67199334649839 9.46800665350161 19.935 19.3813152434125 20.4886847565875 0.94565 0.942508058599676 0.948791941400324 0.9517 0.948728630280735 0.954671369719265 0.954 0.951096738223245 0.956903261776755
